length,n,mass,proportion,cumulative.frequency,rev.cum.freq,count.metre,mass.metre,rev.cum.count.metre,mass.extrapolation,reverse.cumulative.mass,count.leaving.for.birds,mass.remaining,remaining.cumulative.mass
8,1,0.1559559402317403,4.496402877697842e-4,4.496402877697842e-4,1,0.05486594331092503,8.556669775756676e-6,122.02185792349728,0.09786691056021699,3541.173073368724,144480.66546762592,0.022532618028311135,815.3103002598876
9,3,0.22666761578994843,0.0013489208633093526,0.0017985611510791368,0.9995503597122302,0.1645978299327751,3.730899767506154e-5,121.96699198018635,0.4267216609085164,3541.075206458164,433441.99640287773,0.0982472639078757,815.2877676418593
10,10,0.3167014811742451,0.0044964028776978415,0.006294964028776978,0.9982014388489208,0.5486594331092504,1.7376125512592124e-4,121.80239415025358,1.987394355502724,3540.648484797255,1444806.654676259,0.45757240754637735,815.1895203779515
11,14,0.4286021125592944,0.006294964028776978,0.012589928057553957,0.993705035971223,0.7681232063529504,3.292192289486934e-4,121.25373471714433,3.7654449311006806,3538.6610904417525,2022729.3165467626,0.8669460582075602,814.731947970405
12,37,0.5649590302861938,0.016636690647482015,0.02922661870503597,0.987410071942446,2.030039902504226,0.001146889374761067,120.48561151079137,13.117547223829703,3534.895645510652,5345784.622302159,3.020149296334674,813.8650019121975
13,48,0.7284032802191057,0.02158273381294964,0.050809352517985615,0.970773381294964,2.6335652789244017,0.0019182975878396784,118.45557160828714,21.940528660916325,3521.778098286822,6935071.942446044,5.051529151433184,810.8448526158628
14,113,0.9216045429654043,0.050809352517985615,0.10161870503597123,0.9491906474820144,6.199851594134528,0.0057138113948656845,115.82200632936274,65.35171782877626,3499.837569625906,16326315.197841728,15.046406256216061,805.7933234644296
15,172,1.1472686543938908,0.07733812949640288,0.1789568345323741,0.8983812949640289,9.436942249479106,0.01082670803615275,109.62215473522821,123.83047316349706,3434.4858517971297,24850674.460431658,28.510399849000056,790.7469172082135
16,305,1.4081354532695907,0.13714028776978418,0.31609712230215825,0.821043165467626,16.734112709832132,0.023563897385723887,100.1852124857491,269.51207634921695,3310.6553786336326,44066602.9676259,62.05174594386899,762.2365173592135
17,306,1.7069768936103644,0.13758992805755396,0.45368705035971224,0.6839028776978419,16.788978653143058,0.028658398628232856,83.45109977591697,327.78043431041334,3041.1433022844158,44211083.63309353,75.46729820316602,700.1847714153445
18,315,2.0465953744861385,0.14163669064748202,0.5953237410071943,0.5463129496402879,17.282772142941383,0.035370841526041724,66.66212112277391,404.5539999541022,2713.3628679740023,45511409.62230216,93.14344041934754,624.7174732121784
19,169,2.42982225074775,0.07598920863309352,0.6713129496402879,0.4046762589928058,9.27234441954633,0.022530148787210404,49.37934897983253,257.68857675371896,2308.8088680199,24417232.464028776,59.32953474277742,531.5740327928308
20,188,2.859516496016638,0.08453237410071943,0.7558453237410073,0.32868705035971224,10.314797342453906,0.02949533315381552,40.1070045602862,337.35287294676505,2051.120291266181,27162365.10791367,77.67123109690588,472.2444980500534
21,126,3.3385634950961527,0.05665467625899281,0.8125000000000001,0.24415467625899281,6.913108857176554,0.023079852868195527,29.792207217832292,263.97581717998634,1713.7674183194163,18204563.848920863,60.7770923101543,394.5732669531475
22,108,3.8698739473737276,0.048561151079136694,0.8610611510791368,0.1875,5.925521877579903,0.02293102273863952,22.87909836065574,262.2735725731895,1449.79160113943,15603911.870503599,60.385172024777525,333.7961746429932
23,69,4.4563828661690454,0.03102517985611511,0.8920863309352519,0.1389388489208633,3.785750088453827,0.016870751829783582,16.953576483075835,192.9592240531497,1187.5180285662404,9969165.917266188,44.42642018370145,273.41100261821566
24,72,5.101048661619937,0.03237410071942446,0.9244604316546764,0.1079136690647482,3.950347918386602,0.02015091696201908,13.167826394622008,230.47611275309325,994.5588045130906,10402607.913669065,53.064209175378544,228.98458243451418
25,52,5.806852296776737,0.023381294964028777,0.9478417266187051,0.07553956834532374,2.853029052168102,0.016567118304353097,9.217478476235407,189.48641560603855,764.0826917599974,7512994.604316547,43.62684997374677,175.92037325913563
26,44,6.576796508233531,0.019784172661870502,0.9676258992805756,0.05215827338129496,2.414101505680701,0.01587705435308214,6.3644494240673035,181.59380916337702,574.5962761539588,6357149.280575539,41.80967719080851,132.29352328538886
27,26,7.4139050839602385,0.011690647482014389,0.9793165467625901,0.03237410071942446,1.426514526084051,0.010576043297277677,3.9503479183866026,120.96349521261342,393.00246699058175,3756497.3021582733,27.850314446354144,90.48384609458034
28,25,8.321222192085411,0.011241007194244604,0.9905575539568346,0.02068345323741007,1.3716485827731257,0.011413792626714237,2.5238333923025515,130.54525316804407,272.03897177796836,3612016.6366906473,30.056392995411922,62.633531648226196
29,10,9.301811755270268,0.0044964028776978415,0.9950539568345325,0.009442446043165468,0.5486594331092504,0.005103526764535547,1.1521848095294258,58.37158736937531,141.4937186099243,1444806.654676259,13.439319524560338,32.57713865281428
30,8,10.358756866050713,0.0035971223021582736,0.9986510791366907,0.004946043165467626,0.43892754648740023,0.004546743735875151,0.6035253764201753,52.00338147907205,83.12213124054898,1155845.3237410074,11.97312068339477,19.137819128253938
