temp.length,temp.class,temp.block
8,Year1,North
9,Year1,North
9,Year1,North
9,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
10,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
11,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
12,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
13,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
14,Year1,North
